date,patient_volume,staff_on_duty,surgeries_completed,er_wait_time_minutes
2025-02-09,57,13,25,46
2025-02-10,116,21,49,71
2025-02-11,112,22,46,63
2025-02-12,123,19,49,68
2025-02-13,104,21,42,54
2025-02-14,141,25,58,73
2025-02-15,41,11,17,32
2025-02-16,40,10,17,39
2025-02-17,119,20,50,63
2025-02-18,123,19,49,72
2025-02-19,131,24,54,73
2025-02-20,97,18,40,63
2025-02-21,125,20,52,70
2025-02-22,39,12,18,34
2025-02-23,37,9,17,33
2025-02-24,112,21,45,60
2025-02-25,132,27,54,81
2025-02-26,125,22,52,80
2025-02-27,119,25,46,73
2025-02-28,121,22,50,60
2025-03-01,46,12,21,30
2025-03-02,37,9,17,30
2025-03-03,112,22,46,70
2025-03-04,109,20,45,57
2025-03-05,124,24,51,70
2025-03-06,98,18,40,54
2025-03-07,117,23,50,69
2025-03-08,53,12,21,36
2025-03-09,50,17,21,36
2025-03-10,119,20,50,73
2025-03-11,131,22,55,68
2025-03-12,128,28,52,71
2025-03-13,121,22,48,70
2025-03-14,104,21,42,69
2025-03-15,38,10,18,22
2025-03-16,53,15,21,37
2025-03-17,123,25,49,64
2025-03-18,127,24,53,75
2025-03-19,109,21,45,60
2025-03-20,147,27,59,86
2025-03-21,105,22,45,58
2025-03-22,64,15,28,51
2025-03-23,46,10,19,28
2025-03-24,118,23,49,73
2025-03-25,120,25,49,83
2025-03-26,129,22,52,76
2025-03-27,116,23,48,67
2025-03-28,107,18,44,67
2025-03-29,53,10,23,38
2025-03-30,36,10,16,22
2025-03-31,125,24,53,77
2025-04-01,99,17,42,62
2025-04-02,127,31,53,79
2025-04-03,134,26,55,80
2025-04-04,108,20,44,64
2025-04-05,84,13,36,43
2025-04-06,42,13,18,25
2025-04-07,109,22,44,65
2025-04-08,120,21,52,73
2025-04-09,89,18,36,58
2025-04-10,108,20,45,68
2025-04-11,101,19,41,57
2025-04-12,76,17,31,52
2025-04-13,81,19,32,48
2025-04-14,139,24,58,83
2025-04-15,106,20,41,57
2025-04-16,116,19,50,60
2025-04-17,113,22,48,59
2025-04-18,137,25,55,80
2025-04-19,52,11,22,34
2025-04-20,51,13,23,29
2025-04-21,151,23,62,88
2025-04-22,124,22,51,69
2025-04-23,111,23,46,62
2025-04-24,133,25,56,79
2025-04-25,107,19,45,66
2025-04-26,49,12,22,31
2025-04-27,58,13,24,44
2025-04-28,132,26,56,76
2025-04-29,130,23,54,74
2025-04-30,121,24,49,80
2025-05-01,104,18,44,65
2025-05-02,129,25,53,70
2025-05-03,51,11,23,34
2025-05-04,37,9,17,25
2025-05-05,107,21,45,60
2025-05-06,112,22,45,58
2025-05-07,109,20,45,71
2025-05-08,132,24,54,70
2025-05-09,119,22,49,65
2025-05-10,57,16,24,40
2025-05-11,60,13,26,40
2025-05-12,121,21,50,72
2025-05-13,141,28,60,76
2025-05-14,133,25,57,72
2025-05-15,107,19,42,60
2025-05-16,108,21,45,73
2025-05-17,64,13,26,44
2025-05-18,30,13,15,22
2025-05-19,94,21,39,63
2025-05-20,96,18,40,58
2025-05-21,113,23,46,65
2025-05-22,121,24,51,64
2025-05-23,96,21,40,54
2025-05-24,73,16,32,46
2025-05-25,80,20,33,54
2025-05-26,129,27,52,77
2025-05-27,135,21,54,67
2025-05-28,115,23,49,67
2025-05-29,144,23,57,81
2025-05-30,125,23,49,72
2025-05-31,30,10,14,20
2025-06-01,42,9,18,35
2025-06-02,105,21,43,58
2025-06-03,118,20,48,63
2025-06-04,149,27,60,85
2025-06-05,118,22,49,72
2025-06-06,112,20,46,54
2025-06-07,27,11,14,22
2025-06-08,58,14,28,44
2025-06-09,118,20,47,70
2025-06-10,108,18,44,58
2025-06-11,145,28,59,89
2025-06-12,121,21,51,73
2025-06-13,104,20,42,55
2025-06-14,63,18,25,44
2025-06-15,40,10,17,25
2025-06-16,120,21,50,69
2025-06-17,116,20,47,71
2025-06-18,127,22,52,77
2025-06-19,94,20,38,59
2025-06-20,108,17,43,64
2025-06-21,53,11,23,28
2025-06-22,49,9,20,34
2025-06-23,107,20,45,60
2025-06-24,132,22,55,83
2025-06-25,82,15,35,49
2025-06-26,125,22,52,71
2025-06-27,137,26,57,76
2025-06-28,42,10,19,28
2025-06-29,54,17,24,35
2025-06-30,138,24,55,73
2025-07-01,91,17,38,63
2025-07-02,124,23,52,60
2025-07-03,123,24,49,77
2025-07-04,125,22,52,83
2025-07-05,52,13,22,31
2025-07-06,62,12,26,38
2025-07-07,127,24,53,70
2025-07-08,115,20,47,69
2025-07-09,131,22,55,82
2025-07-10,126,27,51,66
2025-07-11,93,21,39,56
2025-07-12,54,10,26,37
2025-07-13,51,14,22,36
2025-07-14,108,22,47,70
2025-07-15,143,25,58,80
2025-07-16,120,25,48,77
2025-07-17,117,21,47,60
2025-07-18,132,24,53,69
2025-07-19,44,14,19,24
2025-07-20,46,11,17,32
